Climate,Soil Geom. Unit(s),Big Sage,Mountain Sage,Basin Sage,Blackbrush,Gambel Oak,Pinion,Juniper,Aspen,Ponderosa,Greasewood,Saltbush,Shadscale,Sacaton,C3 Perennial Grass,C4 Perennial Grass,Forb,Grass,Shrub,Tree,Total Foliar,# plots
Arid Warm,Breaks,0,2,0,2,0,0,0,0,0,0,0,0,0,1,3,6,14,14,0,32,15
Arid Warm,Deep Rocky,1,0,0,1,0,0,2,0,0,0,0,0,0,1,5,6,15,14,2,35,156
Arid Warm,Finer and Clay Uplands,4,0,0,0,0,0,0,0,0,1,0,0,4,5,12,7,23,10,0,37,112
Arid Warm,Gypsum,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,5,6,6,0,17,6
Arid Warm,Saline Bottoms & Bottoms,1,1,0,0,0,0,0,0,0,3,2,1,7,2,10,6,14,9,2,29,117
Arid Warm,Saline Hills,3,0,0,0,0,0,0,0,0,2,2,2,2,3,3,7,9,12,1,27,114
Arid Warm,Saline Uplands,4,1,0,0,0,0,0,0,0,1,1,1,2,4,5,8,12,12,0,30,261
Arid Warm,Sandy Bottoms,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,18,17,29,24,61,4
Arid Warm,Sandy & Loamy Uplands,3,1,0,2,0,0,1,0,0,0,0,0,1,4,8,6,16,10,2,33,285
Arid Warm,Shallow,1,0,0,2,0,0,1,0,0,0,0,1,2,2,9,4,14,8,2,28,265
Arid Warm,Very Shallow,1,0,0,3,0,1,4,0,0,0,0,1,0,2,2,2,8,10,5,25,70
None,Outcrops,4,0,0,0,0,0,1,0,0,0,1,1,0,10,3,4,14,14,1,32,42
None,Riparian,2,2,0,0,0,1,0,0,0,2,0,0,1,18,17,21,49,19,21,79,23
Semiarid Cool,Bottoms,9,3,2,0,1,0,0,1,0,0,0,0,0,54,0,18,56,35,2,79,8
Semiarid Cool,Breaks,4,0,12,0,1,0,5,0,0,0,0,0,0,19,0,6,28,26,6,54,11
Semiarid Cool,Clay Uplands,4,0,18,0,0,0,0,1,0,0,0,0,0,42,1,23,46,38,1,77,57
Semiarid Cool,Deep Rocky,7,1,8,0,3,1,2,1,0,0,0,0,0,25,1,8,27,30,5,59,60
Semiarid Cool,Saline Bottoms,8,1,0,0,0,0,0,0,0,11,5,0,0,13,0,1,13,29,0,41,9
Semiarid Cool,Saline Hills,7,1,1,0,0,0,0,0,0,0,0,1,0,14,0,7,14,16,0,34,13
Semiarid Cool,"Saline, Sandy, Loamy, & Finer Uplands",14,1,4,0,3,0,0,0,0,0,0,0,0,29,0,9,31,29,3,58,314
Semiarid Cool,Shallow,4,1,7,0,3,0,1,1,0,0,0,0,0,26,0,10,29,27,5,56,59
Semiarid Cool,Very Shallow,6,1,2,0,0,1,2,0,0,0,0,0,0,22,0,8,22,24,3,50,26
Semiarid Warm,Breaks,1,0,2,0,1,3,12,0,0,0,0,0,0,17,1,7,28,15,16,55,17
Semiarid Warm,Clay Uplands,10,0,5,0,2,0,1,0,0,0,0,0,0,35,1,12,47,23,2,68,72
Semiarid Warm,Finer Uplands,8,1,3,0,3,2,3,0,0,0,0,0,0,12,6,6,23,17,7,47,272
Semiarid Warm,Gypsum,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,1,13,8,0,20,1
Semiarid Warm,Saline Bottoms,3,2,0,0,0,0,1,0,0,7,3,1,3,11,8,11,23,19,1,50,38
Semiarid Warm,Saline Hills,6,1,0,0,0,0,0,0,0,1,1,1,0,11,2,5,14,14,0,32,56
Semiarid Warm,Saline Uplands,10,1,0,0,0,0,0,0,0,3,1,1,2,12,4,6,20,17,0,40,122
Semiarid Warm,Sandy Bottoms & Bottoms,3,1,2,0,1,1,2,0,0,2,0,0,1,13,8,19,29,14,4,54,50
Semiarid Warm,Sandy & Loamy Uplands,8,1,2,0,2,1,2,0,0,1,0,0,0,15,4,8,28,19,5,51,463
Semiarid Warm,Shallow & Deep Rocky,3,0,1,0,1,5,9,0,0,0,0,0,0,8,7,5,18,12,15,46,467
Semiarid Warm,Very Shallow,3,0,0,1,0,3,8,0,0,0,0,0,0,6,1,4,12,11,13,37,139
